step,action
4,39
5,39
0,23
1,9
2,24
3,38
4,14
5,14
6,39
7,39
8,39
9,28
0,1
1,9
2,1
3,14
4,39
0,1
1,9
2,1
3,39
4,39
5,39
6,39
7,39
8,28
9,39
10,39
11,39
12,14
13,39
0,1
1,1
2,26
3,9
4,28
5,14
6,39
7,39
8,39
0,1
1,9
2,26
3,9
4,14
5,14
6,39
7,39
8,39
0,9
1,1
2,39
3,39
4,39
5,28
6,28
7,28
8,39
0,1
1,9
2,39
3,9
4,14
5,28
6,28
7,28
0,1
1,9
2,1
3,39
4,28
5,28
6,14
7,39
8,14
0,1
1,9
2,9
3,39
4,39
5,28
6,14
0,23
1,9
2,38
3,24
4,9
5,14
6,39
7,39
8,39
0,23
1,9
2,38
3,39
4,39
5,39
6,39
7,39
8,39
0,1
1,9
2,38
3,14
4,14
5,39
6,39
0,23
1,38
2,23
3,14
4,39
5,24
6,39
7,39
0,1
1,38
2,9
3,39
4,39
0,9
1,1
2,23
0,23
1,38
2,9
3,39
4,38
5,39
6,28
7,39
8,39
9,39
0,23
1,9
2,14
3,39
4,39
5,39
6,14
7,28
0,1
1,9
2,1
3,1
4,14
5,39
6,28
7,39
8,39
9,14
10,39
11,39
0,9
1,1
