step,action
0,25
1,25
2,25
3,25
4,25
0,1
1,17
2,1
3,1
4,1
5,25
6,25
7,25
8,25
0,1
1,1
2,1
3,17
4,25
5,25
0,1
1,17
2,1
3,25
4,25
5,25
6,25
0,1
1,1
2,17
3,25
4,25
5,25
6,25
7,25
8,25
0,1
1,17
2,1
3,1
4,17
5,25
6,25
7,25
8,25
0,1
1,1
2,25
3,25
4,25
5,25
0,1
1,1
2,25
3,25
4,17
0,1
1,1
2,25
3,1
4,25
5,25
0,1
1,1
2,1
3,17
4,25
5,25
6,25
7,25
8,25
9,25
10,25
11,25
0,1
1,1
2,17
3,17
4,17
5,17
6,25
7,25
0,1
1,17
2,17
0,17
1,17
2,1
3,1
0,1
1,17
2,1
3,1
4,25
5,25
6,25
7,25
8,25
0,17
1,1
2,1
3,17
4,25
5,17
6,25
7,25
8,25
9,25
10,25
11,25
12,25
0,17
1,1
0,1
1,1
2,17
3,17
4,17
5,25
6,25
7,25
8,25
9,25
10,25
11,25
12,25
0,1
1,25
2,25
3,25
0,1
1,17
2,1
3,17
4,1
5,17
6,25
7,25
8,25
0,1
1,1
2,17
3,17
4,25
5,25
6,25
7,15
8,25
9,25
0,1
1,1
2,17
3,17
0,1
1,1
2,1
3,17
4,17
5,25
6,25
7,25
8,25
0,1
1,17
2,1
3,1
4,17
5,25
6,25
7,25
8,25
9,25
10,25
0,17
1,1
2,17
3,17
4,25
5,25
6,25
7,25
8,25
9,25
10,25
11,25
0,1
1,17
2,17
3,17
4,17
5,17
6,25
7,25
8,25
9,25
10,25
0,1
1,1
0,1
1,1
2,1
3,17
4,25
0,1
1,1
2,17
3,17
4,25
5,25
6,25
7,25
8,25
9,25
10,25
11,25
12,25
0,1
1,1
2,1
3,17
0,1
1,1
2,17
3,17
4,17
5,25
6,25
7,25
8,25
9,25
10,25
11,25
12,25
13,25
0,25
1,25
2,25
3,25
4,25
5,25
0,1
1,17
2,17
3,17
4,25
5,25
0,1
1,17
2,1
3,25
0,1
1,1
2,17
3,17
4,17
5,25
6,25
7,25
8,25
9,25
10,25
0,1
1,17
2,1
3,17
4,1
5,25
6,25
7,25
8,25
9,25
10,25
0,1
1,1
2,1
3,1
4,17
0,1
1,1
2,1
3,25
0,1
1,1
2,17
3,17
4,1
5,25
6,25
7,25
8,25
9,25
0,17
1,17
2,1
3,1
4,17
5,1
0,1
1,17
2,1
3,17
4,17
5,25
6,25
7,25
0,1
1,17
2,17
3,1
4,1
5,17
6,25
7,25
8,25
9,25
0,1
1,1
2,17
3,17
4,25
5,25
6,25
7,25
8,25
9,25
0,1
1,1
2,17
3,17
4,1
5,25
6,25
0,1
1,1
2,25
3,25
4,25
0,1
1,1
2,17
3,17
4,17
5,25
6,25
7,25
8,25
9,25
0,1
1,1
2,1
3,17
4,25
0,17
1,1
2,1
3,1
4,25
5,25
6,25
0,1
1,17
2,17
3,1
4,17
0,17
1,1
2,1
3,1
4,1
5,17
6,25
7,25
8,25
9,25
0,1
1,17
2,1
0,17
1,25
2,25
3,25
0,1
1,17
2,1
0,1
1,17
2,1
3,25
4,25
0,1
1,1
2,17
3,1
0,1
1,17
2,17
0,1
1,1
2,1
3,17
4,17
5,17
6,25
7,25
8,25
9,25
10,25
11,25
12,25
13,25
14,25
0,17
1,1
2,1
0,1
1,1
2,17
3,17
4,17
5,25
6,25
0,1
1,1
2,17
3,17
4,17
5,17
6,25
7,25
8,25
0,17
1,25
2,25
3,25
4,25
5,25
6,25
0,1
1,1
2,17
3,17
4,25
5,25
6,25
0,1
1,25
2,17
3,25
4,25
5,25
0,17
1,1
2,17
3,25
4,25
0,17
1,1
2,1
3,1
4,17
5,25
0,1
1,17
2,17
3,17
4,1
5,25
0,1
1,1
2,17
3,17
0,1
1,17
2,1
0,1
1,17
2,17
3,1
0,1
1,1
2,17
3,1
4,25
5,17
0,1
1,17
2,1
3,17
4,25
5,25
0,1
1,17
2,17
3,25
0,25
1,17
2,25
3,25
0,17
1,25
2,17
3,13
4,5
5,25
6,25
7,25
8,25
9,25
10,25
0,1
1,17
2,1
3,17
4,17
5,17
6,25
7,25
8,25
9,25
10,25
11,36
0,17
1,17
2,1
3,14
4,17
0,25
1,39
2,17
0,1
1,1
2,25
3,1
4,17
5,25
6,25
7,25
8,25
0,1
1,1
2,17
3,17
0,1
1,17
2,17
3,25
4,25
0,1
1,1
2,17
3,17
4,1
5,25
6,17
7,25
8,25
0,25
1,17
2,17
3,39
4,25
0,1
1,17
2,1
3,17
4,17
0,17
1,1
2,1
3,25
0,1
1,17
2,1
0,1
1,17
2,1
3,1
4,17
5,25
6,17
7,25
8,25
9,15
10,25
11,25
12,25
0,1
1,1
2,1
3,17
4,17
5,25
6,25
7,25
8,25
0,1
1,1
2,1
3,1
4,17
0,1
1,1
2,1
3,17
4,17
5,25
6,17
0,1
1,1
0,1
1,1
2,17
3,17
4,1
0,1
1,17
2,17
3,17
4,25
5,17
0,17
1,1
2,1
3,1
4,17
5,17
6,1
7,25
8,25
9,25
10,25
0,1
1,1
2,1
3,1
4,17
5,17
6,17
7,25
0,1
1,1
2,17
3,1
4,1
5,17
6,17
7,17
8,17
9,25
10,25
11,25
12,25
13,25
14,25
15,14
0,1
1,1
2,17
3,17
4,25
5,25
6,25
7,25
8,25
0,1
1,17
2,1
3,17
4,1
5,17
6,17
7,25
8,25
9,25
10,25
11,25
12,25
13,25
0,1
1,17
2,17
3,1
4,17
5,1
0,1
1,1
2,17
3,1
4,17
5,17
6,25
7,25
8,25
9,12
0,1
1,17
2,17
3,1
4,17
0,1
1,1
2,17
3,17
4,17
5,17
6,17
7,25
8,25
9,25
10,25
0,1
1,1
2,17
3,17
4,1
5,17
6,25
7,25
8,25
0,17
1,1
2,1
3,1
0,17
1,17
2,17
3,17
4,25
5,25
6,25
0,17
1,1
2,1
3,1
4,17
5,17
6,25
0,1
1,1
0,1
1,1
2,1
3,17
4,17
0,1
1,1
2,17
3,17
4,17
5,1
6,17
7,25
8,25
9,25
10,25
0,1
1,1
2,1
3,17
4,17
5,1
6,25
0,1
1,17
2,1
3,1
0,1
1,1
2,17
3,17
4,17
5,17
6,25
7,25
8,25
9,25
0,1
1,17
2,17
0,1
1,1
2,17
3,17
4,17
5,25
6,25
0,1
1,1
2,17
0,1
1,1
2,25
3,1
4,17
0,1
1,1
2,17
3,17
4,17
5,17
6,25
0,1
1,1
0,17
1,17
2,1
3,17
4,1
0,1
1,17
2,1
3,1
4,17
5,17
0,17
1,1
2,17
3,1
4,1
5,17
6,17
7,25
8,25
9,25
10,25
0,1
1,1
2,17
3,17
4,1
5,17
6,25
7,25
8,25
0,1
1,17
2,1
3,17
4,17
5,17
6,25
7,25
0,1
1,1
2,17
3,17
4,25
0,1
1,17
2,1
3,17
4,17
5,25
6,25
7,25
8,25
9,1
0,1
1,1
2,17
3,17
4,17
5,25
6,25
7,25
8,25
9,25
0,1
1,17
2,1
3,17
4,25
5,25
6,25
7,25
8,25
9,25
10,25
11,25
0,1
1,1
2,1
3,17
4,17
5,17
6,25
7,25
8,25
9,25
10,25
0,1
1,17
2,1
3,17
4,17
5,17
0,17
1,17
2,1
3,1
4,17
5,25
6,17
7,17
8,25
9,25
10,25
0,1
1,17
2,17
3,17
4,17
5,25
6,25
7,25
8,25
9,25
10,25
11,22
0,17
1,17
2,17
3,25
0,17
1,17
0,1
1,17
2,17
3,1
4,17
0,17
1,17
2,1
3,17
4,17
5,17
0,17
1,17
2,17
3,17
4,13
5,17
6,25
7,25
0,17
1,17
2,17
3,17
0,17
1,17
2,17
3,17
4,17
5,17
6,25
0,1
1,1
2,1
0,17
1,1
2,1
3,17
4,17
5,25
6,17
0,17
1,17
2,1
3,17
0,17
1,25
2,25
3,25
0,1
1,17
0,17
1,1
2,17
3,1
0,17
1,17
2,17
3,17
4,17
5,17
0,17
1,1
2,25
3,17
4,17
5,25
6,25
7,25
0,17
1,17
2,17
0,17
1,17
2,17
3,17
4,17
5,25
6,25
0,17
1,17
2,1
3,1
4,1
5,17
0,1
1,17
2,1
3,17
0,17
1,1
2,1
3,17
4,1
5,1
6,17
7,17
8,17
9,17
10,17
11,25
12,25
0,17
1,17
2,1
3,17
4,17
5,17
6,25
7,25
8,25
9,25
10,25
0,17
1,1
2,1
3,17
4,17
5,17
0,17
1,17
2,17
3,25
0,17
1,1
2,1
3,17
4,17
5,17
6,25
7,39
8,41
9,25
0,17
0,17
1,17
2,17
0,17
1,17
0,17
1,1
2,1
3,17
4,17
5,25
6,25
7,17
8,17
9,25
10,25
11,25
0,17
1,17
2,1
3,17
4,25
5,25
6,25
7,25
8,25
9,25
10,25
11,25
12,25
13,25
0,17
1,17
2,17
3,17
4,17
5,17
6,17
7,25
0,17
1,1
2,17
3,17
0,17
1,17
2,17
3,1
4,17
5,1
6,17
0,17
1,1
2,17
3,17
4,17
0,17
1,17
2,1
3,17
4,17
5,17
0,17
1,17
2,17
3,25
4,17
5,25
6,25
7,25
8,25
0,25
1,17
2,17
3,17
4,25
5,25
6,25
7,25
8,25
9,25
0,17
1,17
2,17
3,1
4,17
5,1
6,17
7,17
0,17
1,1
2,17
3,17
4,17
5,17
6,25
7,25
8,25
0,17
1,1
2,1
0,17
1,1
2,17
3,17
4,25
5,17
0,17
1,17
2,17
3,1
4,17
0,17
1,17
0,17
1,17
2,17
0,17
1,1
2,17
3,17
0,17
