step,action
5,9
0,42
1,5
2,41
3,43
0,22
1,4
2,15
3,2
4,31
0,43
0,22
1,38
2,8
3,3
4,22
5,9
6,24
7,22
0,25
1,4
2,38
3,2
0,9
1,11
0,22
1,0
2,37
3,25
4,42
0,26
1,27
2,25
0,24
1,43
2,18
3,14
0,1
1,9
2,24
3,16
4,43
0,23
1,2
2,17
3,10
0,37
1,18
2,0
0,29
1,26
2,29
3,6
4,24
5,38
6,1
0,2
1,7
2,1
0,39
1,4
0,26
1,39
2,33
0,25
1,1
2,28
3,34
0,28
1,0
2,43
0,17
1,25
2,3
0,15
1,43
2,13
3,43
0,35
1,20
0,16
1,4
0,18
1,37
2,3
3,8
0,24
1,33
0,22
0,4
1,13
0,4
1,43
0,34
0,31
1,34
0,26
1,18
2,11
3,8
4,18
5,10
6,36
7,23
0,5
1,2
2,15
3,10
4,28
5,36
6,36
0,10
1,35
2,36
3,24
0,13
1,2
2,15
0,32
0,1
1,34
2,25
3,36
4,0
0,4
1,39
2,37
3,41
4,16
5,34
0,33
1,34
2,32
0,10
1,37
2,32
3,5
4,26
5,7
6,34
7,12
0,10
0,37
1,31
2,35
3,43
4,32
5,3
6,43
7,39
8,19
0,13
1,39
2,35
3,26
4,23
0,3
1,30
2,18
0,8
1,33
2,35
3,29
4,26
5,8
0,23
1,26
2,18
3,18
4,7
5,14
6,43
7,23
0,35
1,36
2,16
3,42
4,2
5,25
6,27
7,16
8,25
0,8
1,0
0,30
1,7
2,4
3,27
4,15
5,25
6,12
0,9
1,4
2,32
0,10
0,7
1,5
2,3
3,7
4,36
5,4
0,25
1,28
2,28
3,25
4,28
5,25
0,25
1,25
2,25
0,20
0,20
1,20
0,20
0,20
1,20
0,20
1,20
2,20
3,20
0,20
1,20
0,20
1,20
0,20
0,20
1,20
0,20
1,20
2,20
3,20
4,20
5,20
6,20
7,20
8,20
0,20
1,20
0,20
1,20
2,20
3,20
0,20
1,20
2,20
3,20
4,20
0,20
1,20
0,20
1,20
2,20
0,20
0,20
0,20
1,20
2,20
0,18
1,20
2,20
0,20
0,26
1,35
2,35
3,35
4,35
5,35
6,35
7,35
8,35
0,35
0,35
1,35
2,32
0,35
1,35
2,35
0,35
1,35
2,35
3,35
4,35
5,35
6,35
0,35
0,35
0,35
1,35
0,28
1,35
2,35
0,35
1,35
2,35
3,35
0,35
1,35
0,35
1,35
2,35
3,35
4,35
5,35
0,35
1,35
2,35
0,35
1,35
0,42
1,35
2,35
3,35
0,35
1,35
2,35
3,35
4,35
5,35
6,35
7,35
8,35
9,8
0,35
0,35
1,19
2,35
3,35
4,35
5,35
6,35
0,35
1,35
2,35
3,35
4,35
5,35
6,35
0,35
1,35
2,35
3,35
4,35
5,35
6,35
0,35
0,35
1,35
0,35
1,35
2,35
3,35
4,35
0,35
1,35
0,35
1,35
2,35
0,35
1,35
2,35
3,35
4,35
0,35
1,35
2,29
3,35
0,35
1,35
2,35
3,35
4,35
5,35
6,35
7,35
8,35
9,35
10,35
11,35
12,35
