step,action
1,39
2,5
3,21
0,30
1,40
0,15
1,2
2,30
0,27
1,31
2,22
3,2
4,38
5,0
0,14
1,20
0,14
1,43
2,40
3,0
0,7
1,43
0,23
1,8
2,19
3,0
0,17
1,14
2,4
3,27
0,21
0,0
0,26
1,24
2,24
3,9
4,27
5,36
6,37
7,36
8,39
9,31
0,20
0,9
1,24
2,6
3,4
0,32
1,5
2,17
3,28
4,30
0,0
0,17
1,35
2,40
3,22
4,40
5,7
6,10
0,4
1,9
2,7
3,11
0,17
1,7
0,5
1,37
2,27
3,27
4,39
5,14
0,30
1,34
2,17
3,39
0,30
1,18
2,10
0,40
1,15
2,18
3,7
4,7
5,40
0,15
1,8
2,27
3,9
4,31
0,42
1,22
0,24
1,30
2,17
3,18
0,18
1,31
2,15
3,9
4,6
5,9
6,21
0,8
1,43
0,2
1,14
2,5
3,23
0,41
1,19
2,18
3,30
0,15
1,10
0,18
1,17
2,43
0,16
1,31
2,3
3,0
0,42
1,43
0,20
1,21
0,43
0,18
1,7
2,27
3,32
0,3
1,40
2,6
3,12
0,27
1,40
0,18
1,22
2,29
3,12
0,16
1,43
2,19
3,35
4,13
5,27
6,17
7,38
0,15
1,40
2,21
0,14
1,41
2,36
3,16
4,16
5,40
0,15
1,8
2,15
3,15
0,15
1,35
0,4
1,19
2,31
0,8
1,27
2,17
3,9
4,30
5,4
0,15
1,9
2,31
3,5
4,19
5,27
0,18
1,29
2,14
0,31
1,29
2,0
3,4
4,13
5,2
6,36
0,30
1,22
0,38
1,1
0,27
1,17
2,14
0,17
1,37
2,5
0,18
1,6
2,41
0,10
1,19
2,18
3,25
4,3
0,10
1,24
2,38
3,27
4,41
5,5
6,10
7,27
8,12
9,40
10,40
0,29
1,8
2,7
3,26
4,27
5,32
0,41
0,5
1,22
0,16
1,8
0,9
1,29
2,43
0,14
1,8
2,27
3,33
0,38
1,4
2,15
3,20
4,18
5,39
6,13
0,9
1,5
2,29
3,6
4,30
0,40
1,29
2,31
3,41
4,4
5,39
6,31
0,15
1,24
2,37
3,12
0,38
1,10
2,4
3,17
4,5
5,29
6,41
7,25
0,5
1,29
2,41
0,32
1,41
2,40
3,9
0,5
1,7
0,40
1,5
2,27
3,36
0,0
0,43
1,27
2,9
3,15
4,27
5,25
0,15
1,30
2,4
3,1
0,27
1,15
2,31
3,7
4,7
5,26
6,7
7,7
0,9
1,23
2,36
3,26
4,40
5,37
6,0
0,27
1,22
2,13
3,4
4,0
0,25
1,13
0,5
1,10
2,27
0,15
1,21
0,18
0,38
1,24
0,9
1,39
2,27
3,13
0,13
1,7
2,7
3,27
4,18
0,9
1,5
2,24
3,4
4,37
5,25
6,35
0,15
1,36
2,41
3,27
4,4
0,29
1,12
2,26
3,29
0,27
1,19
0,18
1,25
2,5
3,15
0,6
1,36
0,6
1,2
2,17
0,27
1,4
2,36
0,17
1,12
2,23
3,39
4,41
0,29
1,38
2,29
3,4
4,23
0,38
1,5
2,19
0,15
1,6
2,27
3,25
0,31
1,37
2,29
3,39
4,6
0,18
1,40
2,43
3,29
4,38
5,40
6,0
7,13
8,16
0,7
1,1
2,27
3,8
4,43
0,4
1,27
0,27
1,40
2,23
3,10
0,26
1,41
2,2
3,27
4,18
5,43
6,9
0,31
1,5
2,40
3,9
0,17
1,18
2,34
3,6
4,4
5,8
6,17
7,42
8,7
9,15
0,19
1,40
2,24
3,33
0,13
1,27
2,13
3,22
0,41
1,30
2,27
3,4
4,4
0,5
1,4
2,30
3,27
4,15
5,33
0,43
1,13
2,41
3,28
4,28
0,40
1,14
0,8
1,19
2,40
3,15
4,37
0,15
1,39
2,27
3,31
4,41
5,36
0,9
1,27
2,29
3,4
0,27
1,6
0,38
1,9
2,23
3,9
4,12
5,17
6,38
7,13
8,12
0,27
1,5
2,16
3,41
0,17
1,22
2,39
3,23
4,5
5,10
0,9
1,15
2,2
3,4
4,40
5,39
6,31
7,17
8,12
9,24
10,39
11,6
12,10
0,23
1,14
2,41
3,42
4,39
5,30
6,17
7,4
8,8
0,22
0,9
1,8
2,30
3,30
4,18
5,40
6,31
7,14
8,36
9,7
10,20
0,25
1,10
2,27
3,17
4,8
5,1
0,23
1,41
2,4
0,6
1,8
0,19
1,13
2,37
3,25
4,14
5,3
0,6
1,16
2,17
0,34
1,24
2,41
3,35
4,26
0,39
1,4
2,17
0,25
1,10
2,22
0,14
1,9
2,37
3,24
4,41
5,1
0,29
1,29
2,41
0,14
1,27
2,26
3,43
0,41
1,30
2,27
3,29
4,23
0,29
1,17
2,27
3,26
4,13
0,25
1,25
2,22
0,43
1,14
2,14
0,32
1,43
2,8
0,41
1,9
2,13
3,6
4,3
0,17
1,31
2,17
3,4
4,39
5,4
6,19
0,13
1,40
2,37
3,7
0,26
1,11
0,30
1,15
2,9
0,27
1,23
2,41
3,9
4,23
5,29
6,30
7,8
8,17
9,3
0,9
1,29
2,39
3,17
4,14
5,5
6,17
7,9
0,15
1,24
2,17
3,28
4,23
0,40
1,34
0,41
1,30
2,27
3,38
4,14
5,27
6,34
0,8
1,13
2,40
3,40
4,39
5,10
0,39
1,9
2,22
3,7
4,34
0,4
1,41
2,38
3,39
4,31
5,15
6,7
7,24
8,18
0,23
1,38
2,17
3,37
4,29
5,2
6,26
7,5
8,23
0,9
1,25
2,4
3,27
4,37
0,18
1,12
2,25
3,39
4,39
5,16
6,3
7,17
8,30
0,6
1,17
0,15
1,1
2,39
3,41
4,17
5,5
6,15
7,17
8,36
9,38
10,29
11,24
12,13
0,13
1,23
2,40
3,38
4,41
5,0
0,18
1,41
2,0
3,5
4,16
5,39
0,27
1,27
2,4
0,35
0,12
1,15
2,22
3,41
0,17
1,8
0,40
1,23
0,9
1,13
2,23
0,26
1,37
2,19
0,40
1,9
2,39
3,38
4,40
5,7
6,4
0,23
1,6
2,27
3,12
4,40
5,0
0,9
1,16
2,40
3,4
4,25
5,9
0,29
1,12
0,27
1,15
2,41
3,8
4,39
5,21
0,14
