step,action
6,37
7,37
8,17
9,37
10,27
11,37
0,43
1,27
2,27
3,15
4,37
5,26
6,16
7,7
0,23
1,7
2,28
3,18
0,23
1,3
2,9
3,16
4,7
5,37
6,37
7,26
8,28
0,15
1,8
2,38
3,28
0,23
1,29
2,8
3,17
4,38
5,26
6,37
7,37
8,42
0,23
1,23
2,30
3,37
4,39
5,28
0,9
1,18
2,37
3,38
4,18
5,17
6,27
7,38
8,5
9,27
10,16
11,27
0,9
1,9
2,17
3,39
4,38
0,38
1,36
2,36
3,37
4,15
0,28
1,23
2,7
3,30
4,37
5,39
6,39
7,27
0,1
1,28
2,17
3,7
4,28
5,27
6,37
0,23
1,24
2,9
3,2
4,37
5,28
6,37
7,27
8,28
9,38
0,9
1,40
2,42
3,38
4,17
5,38
6,28
7,16
8,17
0,30
1,18
2,37
3,28
4,7
5,18
6,0
7,4
8,35
0,31
1,5
2,14
3,7
4,40
5,3
0,0
1,8
2,15
3,38
4,28
5,38
6,37
7,17
0,9
1,17
2,37
3,18
4,37
5,37
6,27
0,1
1,8
2,41
3,37
4,37
5,39
6,27
7,26
8,16
9,27
10,27
11,42
0,9
1,14
2,27
3,39
4,37
5,27
6,37
7,37
0,28
1,15
2,40
3,37
4,37
5,37
6,29
7,38
8,38
9,30
10,14
0,11
1,31
2,39
3,27
4,17
5,17
6,17
0,1
1,43
2,5
3,23
4,39
5,4
6,27
7,39
0,43
1,23
2,18
3,8
0,1
1,8
2,37
3,37
4,40
5,37
6,37
0,19
1,0
2,17
3,39
4,5
5,17
6,17
7,6
0,0
1,1
2,28
3,17
4,29
5,17
6,17
0,1
1,9
2,3
3,18
4,17
5,37
6,4
7,38
8,16
0,36
1,28
2,27
3,37
4,27
5,38
0,9
1,1
2,19
3,17
4,39
5,37
6,14
7,17
8,7
9,38
10,17
0,27
1,10
2,18
0,1
1,17
2,37
3,9
4,39
5,26
6,7
7,29
8,43
9,8
0,2
1,3
2,18
0,28
1,15
2,9
3,35
4,37
0,9
1,23
2,29
3,38
4,15
5,42
0,43
0,19
1,18
2,15
3,25
4,17
0,9
1,23
2,23
3,25
4,16
5,27
6,37
0,8
1,18
2,30
3,26
4,26
0,11
1,31
2,15
3,26
4,41
5,26
6,18
7,4
8,14
0,19
1,28
2,4
3,18
4,24
5,7
6,38
0,19
1,18
2,38
3,18
4,40
5,38
6,16
0,23
1,9
2,6
3,5
4,38
5,26
0,30
1,23
2,37
3,17
4,37
0,23
1,17
2,37
3,29
4,29
5,14
6,38
7,27
8,38
9,27
0,10
1,23
2,37
3,31
4,14
5,15
6,15
7,27
8,37
9,5
10,38
11,26
12,28
0,19
1,1
2,17
3,7
4,29
5,37
6,38
7,15
8,16
9,39
0,19
1,27
2,16
3,36
0,23
1,17
2,7
3,42
0,31
1,18
2,23
3,37
4,38
5,26
6,37
7,27
8,42
0,1
1,19
2,28
3,9
4,38
5,38
6,7
7,40
8,20
0,28
1,37
2,28
3,42
0,15
1,28
2,28
0,23
1,42
2,17
3,39
4,17
5,17
6,27
0,9
1,39
2,28
3,37
4,38
5,37
6,16
7,42
8,27
9,17
10,4
0,10
1,23
2,38
3,24
4,17
5,37
6,38
7,39
8,27
9,38
10,5
11,7
12,17
13,26
14,9
15,27
16,17
17,38
18,15
0,1
1,8
2,4
3,38
4,15
0,9
1,18
2,42
0,23
1,4
2,29
3,37
4,16
5,17
6,17
7,38
8,16
9,42
0,31
1,39
2,23
3,37
4,27
5,26
6,37
7,4
8,16
