step,action
1,30
0,1
1,2
2,5
3,42
4,2
0,29
1,15
2,22
3,25
4,11
5,30
6,32
0,25
1,27
2,34
0,16
1,25
2,39
0,29
1,10
0,7
1,24
2,36
3,35
0,28
1,18
0,0
1,18
2,5
0,26
1,37
2,43
3,30
4,37
5,30
0,30
1,17
2,38
3,25
4,29
5,23
0,15
1,43
2,24
3,24
4,6
5,35
0,25
1,25
2,28
3,12
4,41
5,19
6,24
7,7
8,35
9,25
10,12
0,13
1,23
2,24
3,27
4,14
5,30
6,11
7,27
8,15
9,25
10,28
11,7
12,35
13,7
14,9
0,25
1,39
2,17
0,10
1,1
2,8
3,7
4,3
5,36
6,10
0,0
1,6
2,30
3,26
4,18
0,30
1,41
2,28
3,26
4,30
0,41
1,26
2,12
3,9
4,9
5,6
6,13
0,26
1,43
2,8
3,6
4,43
0,36
1,2
2,8
3,25
4,7
5,2
6,2
7,29
0,14
1,24
2,38
3,15
0,40
1,36
2,17
0,38
1,1
2,35
3,11
0,15
1,37
2,3
3,24
0,15
1,15
0,40
1,36
2,24
3,13
4,24
5,10
6,37
7,37
0,5
1,0
0,38
1,19
2,34
3,35
0,21
0,38
1,11
0,37
1,13
2,16
3,9
4,40
5,2
0,9
1,25
2,25
3,26
4,2
5,23
0,37
1,2
0,1
1,26
2,16
3,27
4,4
5,27
6,15
0,39
1,28
2,2
3,9
0,41
1,7
0,41
1,25
2,36
3,15
4,25
5,27
0,16
1,11
2,13
3,20
0,24
1,36
2,19
3,25
4,38
5,27
6,35
0,28
1,38
2,16
3,20
0,27
1,36
2,36
3,31
4,37
5,22
0,17
1,40
2,22
0,9
1,7
2,39
3,10
0,2
1,6
2,2
0,37
1,4
2,9
0,27
1,17
2,36
3,27
4,27
5,6
0,23
1,12
2,29
3,23
0,10
1,30
2,11
0,36
1,25
2,36
0,25
1,29
2,25
3,30
0,38
1,2
2,0
0,25
1,29
2,16
3,27
4,8
0,15
1,27
2,25
3,26
4,29
5,30
6,2
7,38
8,28
0,37
1,25
2,12
3,28
4,1
5,24
6,28
7,30
8,25
9,27
0,27
1,27
2,27
3,17
