step,action
0,27
1,27
2,33
3,27
4,8
5,27
6,27
7,8
0,3
1,27
2,27
3,27
4,27
5,4
0,27
1,27
2,27
3,27
4,27
5,27
0,27
1,2
2,27
3,27
4,27
5,27
6,27
0,27
1,27
2,7
3,27
4,27
5,27
6,27
7,8
0,27
1,27
2,26
0,13
1,6
2,27
3,19
0,13
1,13
2,13
3,33
0,13
1,13
2,13
3,13
4,13
5,41
0,13
1,13
2,16
3,13
0,13
1,13
0,13
1,13
2,13
3,13
4,13
5,13
6,13
0,13
1,13
2,13
0,13
1,13
2,13
0,13
1,13
2,13
0,12
1,13
2,13
3,13
0,13
0,13
1,19
2,31
3,13
4,13
0,13
1,13
2,13
0,13
1,13
2,13
3,13
4,13
5,13
0,11
1,13
2,13
3,13
0,13
1,35
2,9
3,13
4,13
5,13
0,13
1,13
2,13
0,13
1,13
0,13
0,13
1,13
2,13
0,13
1,13
2,13
3,13
0,13
1,13
2,13
3,13
0,13
1,30
2,13
3,13
4,13
0,13
1,13
2,13
3,13
0,13
1,13
2,13
0,13
1,13
2,13
0,13
1,13
0,13
1,5
2,13
0,13
1,13
2,13
3,13
4,13
5,13
0,13
1,13
0,13
0,13
0,30
1,5
2,33
0,27
1,26
2,15
3,17
4,42
0,1
1,13
2,16
3,12
4,41
5,20
0,31
1,24
2,31
3,19
4,31
0,2
1,2
2,13
0,11
1,33
0,23
1,33
0,33
1,34
0,30
1,30
0,43
1,19
2,29
3,14
0,16
1,39
2,10
3,1
4,14
5,35
6,15
7,7
8,13
9,6
10,2
0,16
1,11
2,31
3,9
4,23
5,19
0,0
1,30
2,40
3,11
4,37
5,31
6,34
7,43
0,3
1,9
2,25
3,40
4,18
5,5
6,29
0,15
1,32
0,11
0,12
1,11
2,22
0,25
1,33
0,4
1,22
0,29
1,34
0,38
1,34
2,20
3,12
4,35
0,32
0,31
1,37
2,14
3,40
4,5
5,4
0,4
1,21
0,35
0,14
1,9
2,37
3,0
4,3
5,15
6,30
7,22
0,21
1,20
0,27
1,4
0,43
1,24
2,32
0,37
1,19
0,9
1,1
2,27
3,4
4,7
0,38
1,29
2,24
0,17
1,7
2,23
0,42
1,15
2,34
3,37
4,10
0,20
0,16
1,35
2,36
3,31
0,29
1,16
2,16
3,16
4,41
0,2
1,36
2,9
0,18
1,28
2,28
3,26
4,3
5,33
0,17
1,33
0,3
1,4
2,32
3,30
4,22
0,20
1,9
2,18
3,21
0,1
1,4
2,14
3,22
4,14
5,39
0,31
0,32
0,41
1,18
2,9
0,28
1,36
2,36
3,10
0,43
1,28
2,28
3,42
0,25
1,5
2,1
0,0
1,15
2,0
0,17
1,21
0,11
1,16
2,3
3,24
4,22
0,17
1,0
2,24
3,3
4,22
5,0
0,11
1,24
2,37
3,23
4,4
5,31
6,38
7,31
0,9
1,3
2,27
3,24
4,14
0,39
1,37
2,15
3,40
0,39
1,17
2,29
3,30
4,36
0,10
1,21
0,6
1,1
2,38
3,34
4,36
5,27
6,15
0,41
1,17
2,41
0,24
1,37
2,40
3,15
0,28
1,9
2,42
3,7
0,33
1,0
2,43
0,24
1,34
0,27
1,21
2,3
3,31
4,26
5,41
6,38
7,22
0,26
1,38
2,15
3,21
0,28
1,13
2,43
3,28
4,16
5,14
0,36
1,4
2,16
3,38
4,26
5,29
0,17
1,34
2,18
3,11
0,13
0,18
1,9
2,25
3,20
0,5
1,16
2,19
3,12
4,21
0,24
1,21
0,17
1,37
2,26
3,41
4,10
0,18
1,41
2,1
3,33
0,28
1,29
2,30
3,11
4,2
5,30
6,23
0,29
1,16
2,19
0,16
1,14
2,43
3,22
0,11
1,17
2,39
3,13
4,12
0,36
1,40
2,25
3,21
0,30
1,7
2,14
3,15
4,13
5,13
6,13
7,19
0,3
1,18
2,23
0,32
1,34
0,42
1,30
0,13
1,18
2,1
0,27
1,22
2,37
3,0
0,0
0,10
1,39
2,24
3,16
4,35
0,2
1,28
2,37
3,40
4,43
5,10
0,4
1,12
2,34
0,36
1,35
2,4
3,13
4,20
0,26
1,7
2,10
0,34
1,34
0,21
0,34
0,3
1,7
2,21
0,41
1,1
2,35
0,9
1,6
2,38
3,20
0,9
1,28
2,26
0,6
1,31
0,4
1,42
2,0
0,38
1,2
2,5
0,25
1,23
2,6
3,18
4,19
5,0
6,1
7,10
0,6
1,26
2,18
0,19
