step,action
7,28
8,6
0,1
1,40
2,31
3,28
4,6
5,6
0,36
1,1
2,1
3,24
4,3
5,6
6,28
0,30
1,38
2,37
3,36
4,28
5,25
0,10
0,9
1,29
2,25
3,27
4,26
0,36
1,31
2,16
3,28
4,36
5,37
6,28
7,28
0,36
1,31
2,12
0,36
1,9
2,5
3,16
4,6
5,27
6,28
7,6
8,36
9,28
10,41
11,28
0,31
1,6
2,6
3,6
4,6
5,6
6,37
0,31
1,15
2,6
3,9
0,36
1,9
2,28
3,36
0,36
1,6
0,9
1,1
2,14
3,28
4,28
5,6
0,9
1,28
2,6
3,24
4,37
5,28
6,6
7,28
8,6
0,9
1,16
2,9
3,31
4,28
5,28
6,31
7,38
8,28
9,28
10,28
11,28
12,28
13,4
14,38
15,6
0,1
1,28
2,28
3,28
4,28
5,28
0,1
1,6
2,13
3,15
4,28
0,31
1,14
2,28
3,30
4,28
5,28
6,28
7,6
8,28
9,6
0,1
1,9
2,14
3,2
4,37
5,26
6,28
7,28
8,28
0,10
1,9
2,36
3,16
4,31
5,29
6,28
7,28
8,15
9,28
10,4
11,28
12,28
13,28
14,28
15,28
0,10
1,31
2,24
3,16
4,28
5,37
6,37
7,28
8,29
0,1
1,9
2,15
3,0
0,9
1,37
2,24
3,29
4,28
5,16
6,28
7,28
8,26
9,36
0,9
1,28
2,15
3,37
4,28
5,24
0,36
1,9
2,28
3,35
4,6
5,15
6,30
0,36
1,31
2,29
3,28
4,28
5,6
6,6
7,28
0,10
1,19
2,6
3,14
4,9
5,28
6,4
7,6
8,28
9,28
0,36
1,31
2,24
3,35
0,9
1,31
2,37
3,5
4,24
5,28
6,28
7,2
0,9
1,24
2,35
0,1
1,9
2,16
3,38
4,5
5,23
6,26
7,9
8,28
9,6
0,2
1,4
2,31
3,15
4,28
5,28
6,6
7,6
8,28
9,28
10,28
0,31
1,37
2,25
3,4
4,28
5,28
6,28
7,6
8,6
0,10
1,28
2,6
3,6
4,28
0,10
1,36
2,14
3,24
4,3
5,28
6,28
7,28
8,28
9,6
10,6
0,1
1,9
2,9
3,28
4,28
5,6
6,6
0,25
1,38
2,23
0,10
1,1
2,10
3,16
4,28
5,28
6,28
7,28
8,28
9,28
10,37
0,31
1,24
2,27
3,6
4,38
5,30
0,1
1,1
2,9
3,28
4,36
5,38
6,28
0,36
1,9
